Category,Title,Description,Startdate,Times,EventUrl,Neighborhood,Location,imageURl
Street Festival,Do Division Street Fest & Sidewalk Sale, "The annual Do Division Street Fest & Sidewalk Sale rings in Summer Fest Season for a 9th consecutive year Friday, May 29th through Sunday, May 31st. The signature West Town event combines all the best elements of a great Chicago street fest: a rousing live music bill, local independent retailers and artisans, and exciting family fun.","May 29-31, 2015","Friday, 5-10 pm; Saturday & Sunday, 12 Noon-10 pm",http://www.do-divisionstreetfest.com/,West Town,"
2000 W. Division St. Chicago, IL 60622",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/DoDivision600.jpg
Street Festival,Millennium Art Festival,"Located two blocks from Chicago’s bustling Millennium Park, the Millennium Art Festival returns to downtown Chicago’s iconic Michigan Avenue for its fifth year. More than 175,000 people visit the area daily for work or play at the Art Institute, Chicago Cultural Center or Millennium Park. Chicagoans and tourists patronize and love this big city show. The Festival opens to the public on Friday to reach the tremendous number of people who work in the area and welcomes visitors from near and far on Saturday and Sunday. The festival takes place right off Chicago’s famed Michigan Avenue on Lake Street, next to some of the most famous and tallest buildings in the world. Admission to the festival is free. Easy listening live music takes place throughout the weekend.","May 29-31, 2015","Friday & Saturday, 11 am-6 pm; Sunday, 10 am-6 pm",http://amdurproductions.com/,Loop, "199 N Michigan Ave
Chicago, IL 60601",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/MillArtFest600.jpg
Street Festival,Pilsen Food Truck Fest,"New this year is Pilsen Food Truck Fest, which will feature and benefit the Illinois Food Truck Association. On June 6 & 7, up to 40+ food trucks from around Illinois will congregate in Pilsen and serve up sample size portions of their best eats in a festive and entertaining atmosphere! West Town’s infamous Empty Bottle Presents will be programming the live music stage, and Revolution Brewery is likely the sponsor.","June 6 & 7, 2015","11 am-10 pm", ,Pilsen ,"1239 W 18th St
Chicago, IL 60608",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/pilsenfoodtruck600.jpg
Street Festival,Andersonville Midsommarfest,"The yearly event, which, according to ChicagoPride, will “help kick off the Chicago summer neighborhood street festival season” will gather enthusiastic Chicagoans for a weekend filled with tangy international food, energetic entertainment, exclusive artisans and vendors, and a family-friendly array of interactive activities. The neighborhood’s lively LGBT population also makes Midsommarfest one of the most diverse festivals in Chicago. There is really something for everyone at this must-attend festivity.

Born out of Andersonville’s Swedish heritage, Midsommarfest will transport you back to the old-world Swedish traditions. Dance around the Maypole, test flavorful international food and you can experience it all without the use of a passport! Plus, family friendly activities will allow for children of all ages to enjoy a pet parade and face painting, all while appreciating a beautiful June weekend!

Suggested donation is $10 and all the proceeds benefit the Andersonville Chamber of Commerce. The money raised at Midsommarfest goes to support programming and events in Andersonville during the rest of the year, including Andersonville Arts Weekend, holiday events, the Sidewalk Sale, and support services to keep incredible local businesses healthy and strong.","June 12-14, 2015","Friday, 5-10 pm; Saturday & Sunday, 11 am-10 pm",http://starevents.com/,Andersonville,"5500 N. Clark St. Chicago, IL 60640",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/midsommar600.jpg
Street Festival,Ribfest Chicago XVII,"After being selected and featured on the Food Network’s 2014 “Eating America, with Anthony Anderson” and televised to 100 million households and 150 countries, Ribfest Chicago returns with more smokin’ music and barbecue as we cook up Chicago’s favorite food and music festival (“Best Food Fest” 2012, 2013, 2014 – Chicago Reader).

The BBQ component features thirty Chicagoland rib and non-rib vendors, while the quality of entertainment has made Ribfest an internationally-recognized indie music festival that hosts a hot blend of Indie, rock, roots and alt country for one of the most unique lineups in the city.

Music, BBQ and summer fun doesn’t get any better. More highlights include the celebrity-judged “Best Ribs” award and “RibMania,” the Midwest’s only professional rib-eating competition featuring several top ranked eaters and sanctioned by IFOCE/Major League Eating.","June 12-14, 2015","Friday, 5-10 pm; Saturday & Sunday, 12 Noon-10 pm",http://www.ribfest-chicago.com/,Northcenter,"4000 N. Lincoln Ave. Chicago, IL 60618",http://www.chicagoparent.com/media/5304756/ribs.jpg
Street Festival,Uptown Saturday Nights,"The Uptown Saturday Nights series was created to showcase Uptown and its rich, century-long history as an entertainment destination that has played host to thousands of well-known performers. From Billie Holiday and Al Jolson to Stevie Wonder, The Kinks and The Clash, Uptown has welcomed generations of music lovers. Uptown is currently home to more than 10 live performance stages within a one mile radius, including the historic Aragon Ballroom and The Riviera along with newcomers such as The Black Ensemble Theatre and Uptown Underground. Uptown Saturday Nights is presented by Uptown United with support from the Chicago Department of Cultural Affairs and Special Events (DCASE).","Second Saturday, April – December, 2015",Various hours,http://www.exploreuptown.org/,Uptown,"Various locations
Chicago, IL 60640",http://4.bp.blogspot.com/-TMMuhjoD1so/VSWWQtttfvI/AAAAAAAAOO0/zMwpDsZUt-U/s1600/70738d15-e5d7-4f42-a8b8-6f1bc2430382.png
Street Festival,Old Town Art Fair,"This is #1 Art Fair in Chicago, top ten in nation. 66th year with 250 juried artists, range of art mediums. Held in Old Town Triangle, nationally recognized historical Landmarked District. Fair includes Garden Walk through Historical neighborhood, food court, live music stage, children's activities.","June 13 & 14, 2015",10 am -6 pm,http://www.oldtowntriangle.com/,Old Town,"301 W Wisconsin St
Chicago, IL 60614",http://www.oldtowntriangle.com/wp-content/uploads/2015/05/OTAF15_Artist-Postcard_FT_p21-900x450-620x310.png
Street Festival,Wells Street Art Festival,"Iconic early-summer art extravaganza in the historic Old Town neighborhood features the works of nearly 250 juried artists from across the nation. Celebrating its 41st year in 2015, it also features live music, the cuisine of local restaurants and a kids' activity area.","June 13 & 14, 2015",10 am-10 pm,http://www.chicagoevents.com/,Old Town,"1600 N. Wells St. Chicago, IL 60610",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/Wellsccrowd666.jpg
Street Festival,Fiestas Puertorriquenas,"This festive 33rd annual celebration of Puerto Rican culture and heritage features food, music, arts & crafts, carnival rides and more. In addition, on Saturday the fest will be the end location of Chicago's annual Puerto Rican People's Parade on Division Street.","June 18-21, 2015","Thursday & Friday, 3-10 pm; Saturday & Sunday, 12 Noon-10 pm",http://www.chicagoevents.com/,Humboldt Park,"1198 N California Ave
Chicago, IL 60622",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/PRFest800.jpg
Street Festival,Southport Art Festival,"Festival fans will visit the beautiful tree-lined streets of the picturesque neighborhood. Just steps away from the friendly margins of Wrigley Field, the two-day festival will showcase some of the city’s best and most diverse artists. Summer on Southport will put numerous art forms including oil, acrylic, watercolor, jewelry, sculpture, photography, wood, fiber, glass, paper, metal, and mixed media at center stage all weekend long.","June 18 & 19, 2015",12 Noon-10 pm,http://starevents.com/,Wrigleyville,"3700 N. Southport Ave. Chicago, IL 60613",http://www.cityofchicago.org/content/dam/city/depts/dca/Neighborhood%20Festivals/southport800.jpg
